Nome;Id. B2W;SKU Parceiro;Preço de;Preço por;Qtd. Estoque;Ean;Situação;Motivo Reprovação;mensagem
Estojo Necessaire Coca-Cola Pop Pacific;2100081661;7899690505987B2W;R$ 36,65;R$ 36,65;1;7899690505987;"PUBLICADO;"; ;
Supravit Suplemento Vitamínico E Mineral Kit 3caixas 90 Cap*;2066308981;2031124456242B2W;R$ 120,00;R$ 120,00;2;2031124456242;"PUBLICADO;"; ;
Equaliv Follatus L-metifolado Cálcio 60 Cápsulas*;2066309705;2065256563844B2W;R$ 59,99;R$ 59,99;2;2065256563844;"PUBLICADO;"; ;
Fonte Thermaltake Smart Series 700W 80 Plus White PFC Ativo PS-SPD-0700NPCWBZ-W;2066309844;4717964402448B2W;R$ 589,00;R$ 589,00;3;4717964402448;"PUBLICADO;"; ;
Teclado Slim Goldentec GT850 USB Preto - AC1959;1886308038;7899555613697B2W;R$ 34,90;R$ 34,90;2;7899555613697;"PUBLICADO;"; ;
Pijama Infantil LOL It Baby PJML;1871931097;P63223S131B2W-5;R$ 84,90;R$ 84,90;3; ;"PUBLICADO;"; ;
Caneca Naruto e Sasuke (Anime Naruto);1785388569;7909463198916B2W;R$ 28,00;R$ 28,00;300;7909463198916;"PUBLICADO;"; ;
Pele Evans P/ Caixa/Tom Hidráulica TT13HG Clear - AC0130;1881361462;019954501488B2W;R$ 119,90;R$ 119,90;2;19954501488;"PUBLICADO;"; ;
Garrafa de Vidro Vermelha;1818514041;7899782674379B2W;R$ 54,90;R$ 54,90;2;7899782674379;"PUBLICADO;"; ;
Bola Pilates 45 cm ZIVA;1818405531;0759624857049B2W;R$ 59,90;R$ 59,90;0;759624857049;"SE;"; ;
Luva p/ Proc. não Cirúrgico com Pó Tamanho PP - Descarpack - Cx 100 und.;1818404984;7898283814659B2W;R$ 79,90;R$ 79,90;0;7898283814659;"SE;"; ;
Mascara Descartável 03 Camadas SMS sem clipe nasal - Farmask - Encart 03 und.;1818404651;7893595244170B2W;R$ 12,00;R$ 12,00;536;7893595244170;"PUBLICADO;"; ;
Pasta Térmica Noctua Nt-h1 3,5g + Cleaner Implastec 10ml;1818404829;6015053832809B2W;R$ 91,84;R$ 91,84;0;6015053832809;"SE;"; ;
Pasta Térmica Noctua Nt-h1 3,5g + Chave Torx T8 P/ Ps4;1818405557;6015053831871B2W;R$ 91,84;R$ 91,84;0;6015053831871;"SE;"; ;
CANECA CERÂMICA B MARLEY;1829732588;P34408S98B2W;R$ 32,90;R$ 32,90;30; ;"PUBLICADO;"; ;
L-Carnitine Fire Midway Sabor Tangerina com 240ml;1829734401;P38205S63B2W;R$ 38,90;R$ 38,90;9; ;"PUBLICADO;"; ;
Oli Ola 300Mg Peeling 90 Cápsulas;2118870757;5214545885861B2W;R$ 228,99;R$ 228,99;60;5214545885861;"PUBLICADO;"; ;
Luva nitrilica PRETA c/100 Dentista Odontologia Podóloga podologia Tamanho P;2066309908;4064222559865B2W;R$ 88,99;R$ 88,99;0;4064222559865;"SE;"; ;
Placa Quadro Decorativo Alto Relevo Gas Next Service 40x28;2066310028;P108157S280B2W;R$ 69,90;R$ 69,90;2; ;"PUBLICADO;"; ;
Sapato Social Masculino Casual Reta Oposta Couro Preto;2066313069;P108617S204B2W-5;R$ 190,00;R$ 190,00;0; ;"SE;"; ;
Sapato Social Masculino Casual Reta Oposta Couro Preto;2066313069;P108617S204B2W-6;R$ 190,00;R$ 190,00;0; ;"SE;"; ;
Sapato Social Masculino Casual Reta Oposta Couro Preto;2066313069;P108617S204B2W-7;R$ 190,00;R$ 190,00;0; ;"SE;"; ;
Pistola Lança Água Splash Gun Belfix;2069249226;7896777919279B2W;R$ 33,90;R$ 33,90;2;7896777919279;"PUBLICADO;"; ;
Vestido Infantil Viscose e Poliéster;1825036112;P14918S24B2W-0;R$ 229,00;R$ 229,00;2; ;"PUBLICADO;"; ;
Vestido Infantil Algodão e Elastano;1825036219;P30729S24B2W-0;R$ 239,00;R$ 239,00;1; ;"PUBLICADO;"; ;
Vestido Infantil Manga 7/8 Cinza;1825036542;P14862S24B2W-3;R$ 239,00;R$ 239,00;1; ;"PUBLICADO;"; ;
Bady Doll Verão Adulto Feminino.;2066310044;P108718S42B2W-1;R$ 49,90;R$ 49,90;1; ;"PUBLICADO;"; ;
Camiseta Infantil George Azul MC;2057371769;P104968S131B2W-4;R$ 34,90;R$ 34,90;8; ;"PUBLICADO;"; ;
Camiseta Infantil George Azul MC;2057371769;P104968S131B2W-5;R$ 34,90;R$ 34,90;8; ;"PUBLICADO;"; ;
Moletom Adulto Star Wars Branco;2018851735;P100503S131B2W-0;R$ 112,90;R$ 112,90;8; ;"PUBLICADO;"; ;
CABO HDMI FULL HD 1.4 4K 15MTS;2018856317;7897373101921B2W;R$ 62,90;R$ 62,90;2;7897373101921;"PUBLICADO;"; ;
Placa Decorativa - Unicórnio;1818514323;7899782620178B2W;R$ 35,90;R$ 35,90;2;7899782620178;"PUBLICADO;"; ;
Almofada de pescoço para viagem - Jóia Rara;1818512740;P25799S107B2W;R$ 79,90;R$ 79,90;5; ;"PUBLICADO;"; ;
Perfume Cherry pour femme Eau de Parfum – Feminino 30 ml;1818513021;5055116607686B2W;R$ 29,90;R$ 29,90;6;5055116607686;"PUBLICADO;"; ;
Almofada - Keep Calm;1818515203;P25791S107B2W;R$ 59,90;R$ 59,90;5; ;"PUBLICADO;"; ;
Cueca Boxer Kevland Colored Skulls Black;1850415641;P60948S124B2W-2;R$ 48,90;R$ 48,90;2; ;"PUBLICADO;"; ;
Cueca Boxer Kevland Colored Skulls Black;1850415641;P60948S124B2W-1;R$ 48,90;R$ 48,90;2; ;"PUBLICADO;"; ;
Jogo com 4 Rodas Aro 18 FURAÇÃO 4X100 PRETA DIAMANTADA;1850419799;7010639560861B2W;R$ 2.779,74;R$ 2.779,74;0;7010639560861;"SE;"; ;
Cueca Boxer Kevland Colored Skulls Black;1850415641;P60948S124B2W-0;R$ 48,90;R$ 48,90;2; ;"PUBLICADO;"; ;
Escova Tira Pelo Furminator Para Cães Com Pelo Curto - Pequeno;1850417726;4048422141006B2W;R$ 186,19;R$ 186,19;2;4048422141006;"PUBLICADO;"; ;
